AcX,AcY,AcZ
-18008.0,7780.0,-6252.0
-20384.0,9600.0,-7804.0
-23624.0,7388.0,-5304.0
-26328.0,6204.0,-3568.0
-26732.0,8576.0,-6280.0
-26708.0,9680.0,-7460.0
-27220.0,12192.0,-7216.0
-30596.0,14080.0,-6160.0
-32768.0,19840.0,-6588.0
-32768.0,19740.0,-9024.0
-32768.0,11120.0,-5996.0
-32768.0,536.0,-14824.0
-27488.0,19216.0,-26568.0
-32768.0,19408.0,-10680.0
10160.0,-4116.0,-18268.0
-26088.0,-27868.0,-1796.0
-11740.0,7932.0,-13008.0
-11880.0,19892.0,-12004.0
-3304.0,13876.0,-5176.0
-5972.0,5768.0,-3864.0
-6260.0,-920.0,-3028.0
-7388.0,-2228.0,-1912.0
-6704.0,1144.0,-2128.0
-7328.0,2036.0,-4088.0
-8464.0,1728.0,-4292.0
-9172.0,1472.0,-5856.0
-11580.0,-532.0,-5404.0
-13728.0,-2912.0,-6836.0
-14104.0,-4044.0,-6952.0
-15996.0,-3252.0,-6624.0
-19232.0,-1888.0,-7384.0
-22420.0,-2280.0,-7400.0
-26204.0,-3120.0,-7612.0
-30852.0,-7940.0,-8736.0
-32768.0,-15272.0,-10088.0
-32768.0,-24500.0,-10884.0
-32768.0,-30936.0,-11512.0
-29164.0,-24312.0,-13360.0
-26976.0,-24376.0,-15452.0
-28872.0,-32768.0,-8392.0
-26680.0,-32768.0,-3524.0
-21260.0,-32768.0,-4396.0
-21352.0,-32768.0,-3540.0
-32768.0,9332.0,-15844.0
-16132.0,32767.0,152.0
-32768.0,32767.0,-17692.0
-32768.0,-32260.0,32767.0
-21112.0,-10536.0,-1952.0
-18224.0,-3164.0,-4092.0
-9892.0,-5124.0,-1560.0
-12756.0,-5048.0,-14904.0
-17244.0,-15220.0,-15076.0
-17760.0,-19580.0,-23400.0
-13668.0,-7448.0,-7636.0
-16148.0,1224.0,-12024.0
-13072.0,6780.0,-3848.0
-14584.0,8240.0,-36.0
-16356.0,5932.0,-1240.0
-15340.0,4672.0,-5856.0
-14856.0,-2144.0,-7944.0
-14520.0,-2280.0,-9668.0
-14152.0,-480.0,-9024.0
-14264.0,3068.0,-6200.0
-15932.0,936.0,-5028.0
-16928.0,-620.0,-3956.0
-17068.0,664.0,-5516.0
-16928.0,644.0,-6264.0
-16036.0,2812.0,-6588.0
-14880.0,3888.0,-7368.0
-14868.0,4736.0,-8568.0
-14904.0,3768.0,-9536.0
-18512.0,3948.0,-8680.0
-21536.0,5672.0,-5520.0
-22532.0,6692.0,-5772.0
-22912.0,6760.0,-3648.0
-24284.0,6788.0,-3588.0
-25616.0,7244.0,-5948.0
-25276.0,8520.0,-9956.0
-25780.0,8788.0,-9200.0
-28120.0,10852.0,-7288.0
-32768.0,15960.0,-8216.0
-32768.0,19480.0,-9924.0
-32768.0,14444.0,-5484.0
-32768.0,3220.0,-9000.0
-29576.0,11172.0,-23880.0
-27196.0,27360.0,-18980.0
-32768.0,22324.0,-7968.0
-9592.0,-29760.0,-7712.0
-7904.0,-6524.0,-9140.0
-17536.0,13768.0,-12608.0
-5028.0,15004.0,-5984.0
-2992.0,9340.0,-3356.0
-4168.0,1520.0,-4272.0
-7316.0,-3704.0,-3212.0
-6704.0,-608.0,-652.0
-7220.0,1448.0,400.0
-8372.0,1600.0,-924.0
-8100.0,2028.0,-1892.0
-9800.0,2008.0,-2264.0
-12600.0,1432.0,-3140.0
-13704.0,1056.0,-2752.0
-14992.0,156.0,-2660.0
-19096.0,276.0,-2788.0
-23988.0,-1152.0,-3364.0
-28516.0,-2008.0,-3892.0
-32768.0,-5912.0,-5164.0
-32768.0,-13404.0,-8416.0
-32768.0,-22748.0,-8920.0
-32768.0,-25440.0,-9096.0
-30172.0,-20708.0,-13764.0
-30304.0,-26392.0,-12056.0
-31108.0,-32768.0,-4944.0
-26532.0,-32768.0,-5224.0
-20844.0,-32768.0,-4636.0
-22380.0,-31540.0,-3848.0
-30612.0,26340.0,-24652.0
-10220.0,32767.0,-13244.0
-32768.0,32767.0,-11832.0
-22600.0,-25576.0,32767.0
-18456.0,-7408.0,-11552.0
-16032.0,-15772.0,404.0
-10860.0,-6768.0,-100.0
-15884.0,-6696.0,-9452.0
-16700.0,-11776.0,-11540.0
-19648.0,-24460.0,-17672.0
-11560.0,-8792.0,-7436.0
-19688.0,-460.0,-7020.0
-15880.0,9384.0,-432.0
-16652.0,3848.0,-4812.0
-18112.0,128.0,-5520.0
-16928.0,-2524.0,-6304.0
-16592.0,-108.0,-8404.0
-14580.0,1048.0,-9672.0
-13552.0,2744.0,-8256.0
-12904.0,2832.0,-6072.0
-14384.0,2084.0,-5272.0
-14684.0,488.0,-6552.0
-15228.0,-1020.0,-6672.0
-16176.0,-876.0,-7504.0
-16108.0,-1596.0,-6672.0
-16648.0,-1320.0,-7244.0
-13608.0,2288.0,-7420.0
-16144.0,2156.0,-4580.0
-16304.0,4436.0,-6624.0
-16852.0,9032.0,-8268.0
-18700.0,8392.0,-8224.0
-20752.0,10948.0,-7380.0
-23448.0,8424.0,-5156.0
-25996.0,8636.0,-4392.0
-26372.0,9128.0,-5672.0
-28292.0,10768.0,-6948.0
-30320.0,12468.0,-7220.0
-31348.0,13624.0,-3392.0
-32768.0,20764.0,-7408.0
-32768.0,26448.0,-5700.0
-32768.0,10940.0,-8164.0
-32348.0,-1224.0,-13588.0
-32768.0,19984.0,-25424.0
-28984.0,19336.0,-13772.0
-3736.0,8312.0,-14420.0
-15148.0,-23488.0,-5136.0
-16400.0,10524.0,-12984.0
-8888.0,21436.0,-9928.0
-2956.0,14928.0,-5388.0
-5264.0,4968.0,-4524.0
-6320.0,-2508.0,-3624.0
-5224.0,-312.0,-2068.0
-5764.0,3092.0,-2744.0
-7632.0,852.0,-3812.0
-7544.0,1864.0,-6504.0
-8500.0,2028.0,-6368.0
-12184.0,-868.0,-7184.0
-14700.0,-2536.0,-8252.0
-17728.0,-4512.0,-7956.0
-20712.0,-3556.0,-8240.0
-24192.0,-2704.0,-8924.0
-27404.0,-2304.0,-8828.0
-29340.0,-5720.0,-9628.0
-32768.0,-11928.0,-9184.0
-32768.0,-18320.0,-8924.0
-32768.0,-29056.0,-9992.0
-29316.0,-27156.0,-10648.0
-26112.0,-25036.0,-15584.0
-28244.0,-32768.0,-11512.0
-24520.0,-32768.0,-5488.0
-22044.0,-32768.0,-5792.0
-22580.0,-32768.0,-5784.0
-32768.0,-19208.0,-6204.0
-22244.0,32767.0,22428.0
-32768.0,32767.0,-12588.0
-32768.0,-18356.0,32767.0
-12844.0,-15032.0,-504.0
-16744.0,-7912.0,-8320.0
-13700.0,-8460.0,2776.0
-9552.0,-9516.0,-12984.0
-20668.0,-21508.0,-23508.0
-32624.0,-8864.0,-15496.0
