AcX,AcY,AcZ
-6376,6244,-6528
-3320,5628,-5048
-3520,1944,-3160
-3980,-2040,-1168
-3732,-2088,-812
-4996,-1628,-992
-5844,-1308,-2228
-6752,-1444,-3520
-7580,-1248,-3340
-9664,-1900,-3624
-12100,-2920,-3496
-13712,-4304,-3488
-14720,-4492,-2644
-18128,-4836,-2428
-21300,-4760,-2884
-24004,-4916,-3360
-27244,-6604,-4856
-30512,-10144,-5300
-32768,-15000,-5748
-32768,-19840,-4780
-32768,-22000,-5496
-27452,-19308,-12172
-23424,-26308,-9000
-21880,-32768,-2164
-17912,-28284,-1312
-17496,-25276,-4528
-15244,-26308,-6120
-17884,-25464,-2416
-21288,-124,-12868
-20924,32172,-6176
-30940,30096,-6672
-32768,8992,15824
-18128,-14652,12188
-17832,-4540,-1724
-12440,16,-1936
-11220,-5276,-6752
-14896,-8120,-11900
-12924,-20000,-14892
-21384,-4092,-10448
-13552,-9984,-9000
-16344,-268,-6544
-14768,3224,-5520
-16892,3572,-3508
-17372,16,-5636
-15852,-6764,-5368
-15936,-7544,-5220
-16412,-3796,-6992
-14924,-1680,-6132
-15052,-1668,-5472
-14912,-2752,-5744
-15176,-3180,-5912
-15728,-4572,-5220
-16464,-4664,-5260
-15528,-3188,-6880
-16264,-3120,-6352
-15844,-1732,-6932
-14128,-1804,-6780
-14268,-160,-5908
-15636,-856,-5868
-16540,-1744,-7108
-15704,-180,-8000
-16356,2288,-7560
-17460,3700,-9084
-18464,2696,-7788
-20784,2308,-7836
-22440,424,-6660
-23596,264,-7540
-23288,4,-8348
-25440,-864,-6972
-25268,296,-4324
-28116,3892,-6056
-30152,6968,-8552
-30660,10692,-8544
-30220,4028,-4652
-32768,496,-3776
-27748,-2800,-17544
-24896,6764,-21964
-26912,10904,-14032
-29004,12464,-11692
-6408,-30352,4592
-14616,-9560,-6544
-10180,3384,-11100
-7656,5416,-7404
-5012,5880,-3620
-4716,3560,-2392
-4720,756,-1032
-4104,644,-1432
-7064,524,-1116
-6728,404,-2320
-7108,-48,-3824
-8576,-1068,-4552
-10284,-2556,-3840
-12016,-3788,-5376
-14156,-4760,-5856
-15424,-4836,-5320
-18816,-3716,-5112
-22764,-2548,-5804
-26728,-3884,-6736
-29204,-6844,-8320
-32768,-12456,-7332
-32768,-19556,-7040
-32768,-25360,-8996
-29052,-30796,-11320
-25648,-32768,-12436
-14560,-32692,-10956
-18904,-29456,-4600
-17796,-25500,-4188
-15344,-24852,-3788
-19520,-25192,-4792
-24076,-1748,-684
