AcX,AcY,AcZ
-15316.0,1060.0,-6776.0
-15468.0,408.0,-6700.0
-22536.0,8176.0,-6960.0
-19360.0,7736.0,-14148.0
-24912.0,12720.0,-9956.0
11760.0,-9140.0,-2624.0
-20876.0,-22272.0,-9612.0
-7808.0,-4328.0,-2236.0
-11528.0,7616.0,-10652.0
-5192.0,9796.0,-7996.0
-4968.0,4580.0,-3720.0
-5916.0,-2452.0,-3192.0
-7368.0,-3724.0,-3184.0
-7936.0,-3376.0,-2884.0
-8076.0,-3652.0,-1284.0
-8552.0,-2596.0,-1852.0
-9196.0,-1156.0,-2012.0
-10160.0,-2380.0,-3092.0
-12616.0,-3868.0,-2888.0
-13512.0,-3620.0,-3004.0
-14640.0,-2720.0,-3376.0
-15900.0,-2864.0,-3648.0
-17644.0,-2756.0,-3860.0
-19260.0,-1648.0,-3592.0
-21628.0,-2316.0,-3624.0
-23560.0,-2020.0,-4124.0
-24560.0,-1688.0,-4836.0
-25920.0,-1748.0,-5656.0
-28140.0,-4360.0,-6708.0
-30828.0,-10908.0,-7220.0
-31492.0,-9852.0,-6160.0
-28476.0,-6880.0,-5900.0
-25216.0,-11416.0,-8916.0
-22660.0,-17204.0,-10988.0
-19752.0,-18640.0,-9292.0
-18228.0,-16860.0,-5972.0
-16828.0,-16636.0,-6496.0
-16972.0,-15016.0,-7932.0
-18140.0,-12864.0,-8128.0
-20652.0,-11164.0,-7212.0
-11712.0,30736.0,-7680.0
-24496.0,32767.0,-5716.0
-24888.0,13344.0,-4540.0
-20320.0,20276.0,-8256.0
-17712.0,-4480.0,11868.0
-24360.0,-4764.0,4844.0
-17088.0,224.0,-7724.0
-13532.0,4504.0,-2012.0
-12224.0,464.0,-5152.0
-14352.0,-11640.0,-11492.0
-26552.0,-2352.0,-23384.0
-8896.0,-904.0,-11188.0
-16932.0,-1744.0,-7220.0
-14388.0,4084.0,-8212.0
-15092.0,4488.0,-4524.0
-15760.0,3632.0,-3060.0
-15560.0,3244.0,-2268.0
-15800.0,124.0,-3976.0
-15776.0,-1128.0,-5972.0
-15984.0,-1896.0,-7692.0
-15352.0,340.0,-8148.0
-14892.0,1092.0,-8652.0
-15840.0,-148.0,-7908.0
-15616.0,-228.0,-6732.0
-15720.0,52.0,-6684.0
-15660.0,1212.0,-6096.0
-15144.0,1276.0,-5848.0
-15172.0,752.0,-6556.0
-15348.0,-556.0,-6832.0
-15192.0,-936.0,-6844.0
-15856.0,108.0,-6848.0
-15152.0,-44.0,-6304.0
-15048.0,-80.0,-6296.0
-15976.0,-168.0,-6272.0
-15828.0,-724.0,-5972.0
-15492.0,-984.0,-6496.0
-15640.0,-356.0,-7092.0
-15676.0,576.0,-7060.0
-15388.0,1832.0,-7456.0
-14864.0,2464.0,-8228.0
-14884.0,3896.0,-8552.0
