AcX,AcY,AcZ
-23040,604,-7948
-23588,4,-6104
-25652,2276,-6904
-27408,4004,-8104
-30052,3872,-10296
-29912,6924,-7088
-32768,2832,-5592
-28440,-768,-5836
-30568,-2240,-18180
-29328,4696,-18792
-26480,10784,-12056
-16600,7028,-6380
-22084,-26840,5580
-9260,-11432,-2300
-8896,1844,-9432
-4916,4724,-6752
-1376,6444,-4852
-1252,4332,-3268
-1740,64,-1836
-4240,-2152,-688
-5040,-1896,-944
-4800,-1040,-1456
-5232,-2524,-1888
-7080,-1816,-1972
-8532,-604,-2640
-10536,284,-3324
-12888,-1228,-4196
-15024,-2044,-3856
-17672,-2132,-3732
-22968,-3096,-3244
-26876,-6596,-3848
-30756,-11084,-4556
-32768,-14292,-4496
-32768,-19176,-4424
-32768,-25732,-5508
-28784,-23588,-8548
-24232,-21512,-9348
-22924,-32768,-2420
-19388,-32768,1216
-15532,-25892,-752
-15004,-26568,-2288
-26620,-2156,-13868
-27204,24040,-208
-23136,32767,-612
-32768,16164,9260
-24988,-5816,20480
-15880,-11828,-3856
-18936,-7576,-3084
-13544,68,-5352
-11700,-8432,-15688
-13300,-17260,-21296
-15644,-12228,-4284
-14936,-9732,-11408
-15608,-412,-4324
-14676,3728,-6260
-16560,8840,-3156
-16156,4744,-5356
-14932,-3692,-5088
-17112,-7500,-5856
-15788,-5532,-8300
-14432,-2692,-7908
-15072,-604,-6464
-15604,-1112,-4608
-15644,-3116,-4212
-15776,-2988,-4528
-15924,-2976,-5384
-15508,-2924,-5840
-15784,-2700,-5792
-15560,-2368,-6108
-14480,-1728,-7472
-14740,-2632,-6984
-14992,-2016,-6740
-17020,-936,-6424
-16696,-848,-4548
-16736,80,-5304
-16152,1616,-5416
-18072,1432,-6508
-18928,1008,-6688
-20324,852,-5708
-21652,-36,-4968
-22428,528,-6444
-21908,-1004,-7996
-22100,-856,-7856
-22680,-628,-6796
-24584,1980,-7536
-26240,3800,-8204
-27472,4600,-9288
-27704,5284,-6996
-32768,-1396,-4260
-29516,2740,-7672
-25384,-3180,-15472
-25584,2452,-21560
-26788,7708,-10416
-27816,9428,-8348
-8556,-27284,2780
-12288,-12212,-2412
-7336,1720,-9460
-6224,4712,-7744
-3652,6492,-4392
-3312,4492,-1936
-3640,300,-1560
-4260,-548,-1532
-5420,-612,-1248
-6540,-1192,-1844
-7108,-1072,-3404
-8880,-740,-4292
-10792,-1380,-4544
-12256,-2584,-5048
-14052,-4836,-4988
-15356,-5656,-4596
-17636,-5904,-4124
-21116,-6412,-4208
-24564,-7808,-5068
-27320,-10088,-6856
-30048,-12616,-8388
-32768,-17528,-7544
-32768,-23088,-7056
-30228,-22160,-9364
-26176,-24396,-12888
-22956,-32768,-4144
-19204,-32272,632
-19408,-26408,-2044
-15880,-25272,-3572
-18824,-23052,-1876
-26984,-10648,-9060
-21576,14900,6932
-28308,32767,8872
-24592,20400,1832
-32768,11896,17120
-14432,-13940,6700
-19972,-9416,-2672
-13428,-384,-4808
-13172,-4796,-11380
-7256,-23564,-21628
-21284,-8288,-11580
-11640,-8076,-10544
-17568,-2844,-6256
-14500,3444,-2640
-16680,6132,-676
-16552,5400,-3812
-16940,-1696,-6100
-15364,-8892,-7204
-15036,-7124,-8644
-15160,-3792,-6892
-15692,-328,-5728
-15440,-640,-4732
-15588,-2724,-3808
-15860,-3784,-3444
-15620,-4560,-5080
-15916,-4684,-5708
-14920,-4124,-7892
-16436,-3636,-7464
-17232,-1012,-4520
-15104,204,-6484
-15760,-256,-4520
-15796,-836,-5516
-15904,-256,-6888
-15676,944,-7232
-17112,1716,-7692
-18496,1692,-7800
-19924,1296,-6460
-22696,1516,-4736
-23524,2028,-5940
-23448,1132,-7156
-24348,316,-7596
-25848,1792,-8572
-27320,3168,-9088
-30236,2380,-11240
-29628,4600,-9356
-32592,2036,-8292
-32288,3640,-11456
-27276,704,-13192
-26548,3136,-18720
-25656,11248,-17480
-23464,10208,-6760
-15368,-27968,3160
-9908,-8672,-1532
-7940,3864,-8528
-5764,5708,-5596
-2976,7168,-2868
-3440,2804,-1016
-2656,-2548,-964
-2892,-2244,-1644
-5252,-1932,-1080
-5880,-1996,-1068
-7252,-988,-2412
-8856,-556,-2008
-10272,-740,-1836
-11992,-1580,-2728
-13692,-3268,-2632
-15536,-2780,-2316
-17500,-2636,-2056
-20828,-2004,-2320
-24668,-2560,-2548
-28332,-5112,-4184
-32456,-9420,-5144
-32768,-15084,-5136
-32768,-22404,-4184
-32768,-24820,-4468
-26768,-22740,-11656
-23920,-31344,-8996
-20564,-32768,-444
-18384,-28376,-3120
-15968,-27544,-4828
-27708,-15760,-9356
-27604,6000,-2352
-22260,32767,-1600
-32768,22020,-1360
-27780,-28,25848
-11412,-8596,1160
-17804,-12700,-1956
-14244,-764,-1152
-11576,-96,-8944
-6304,-20628,-21880
-27344,-7920,-10996
-11896,-11408,-8156
-17440,-3156,-6760
-14544,-436,-3352
-16416,6596,-3196
-16056,6464,-4284
-16460,652,-5588
-15544,-5208,-4808
-16212,-8732,-7840
-15744,-7436,-9048
-14856,-1392,-7780
-15228,1024,-5424
-15300,-584,-4916
-15816,-3180,-4360
-15816,-3408,-4952
-15688,-2800,-6028
-15552,-2108,-6476
-15052,-1280,-6428
-14520,-684,-7512
-15820,-1476,-6096
-15152,-1764,-6540
-17236,-1880,-6032
-16384,-1604,-6544
-16244,-608,-6576
-16176,524,-7228
-17668,1976,-7312
-19228,3412,-7996
-20156,2328,-6496
-22640,1684,-5220
-24204,-808,-5976
-22272,-20,-7000
-23440,-672,-9092
-24912,16,-7176
-27196,3656,-7644
-30320,6452,-8120
-30788,9668,-10004
-30120,6024,-5200
-32768,-3620,-2524
-27892,-5648,-13924
-25520,4472,-23408
-27964,11260,-11964
-27228,14292,-10132
-9308,-32020,3952
-13052,-11052,-3716
-9052,4228,-10056
-7220,6684,-7824
-4124,7604,-5180
-4116,3192,-2900
-5200,-1448,-1232
-5412,-1604,-1316
-6872,-160,-1376
-6592,320,-2716
-7076,-800,-3096
-8276,-1040,-4360
-10232,-1092,-4476
-12424,-2448,-4720
-14620,-4240,-4656
-15668,-4888,-4328
-17952,-4932,-3380
-22188,-3600,-3188
-25884,-4960,-3424
-28404,-8556,-3980
-32180,-12732,-4316
-32768,-18268,-5260
-32768,-25936,-5068
-31852,-26596,-6284
-24116,-24276,-13060
-23260,-32768,-5700
-21860,-32768,1388
-18484,-29056,-1588
-16740,-26488,-4792
-28384,-12628,-11192
-29592,17884,-3760
-19640,32767,1244
-32768,21860,-356
-23624,716,25920
-13320,-11008,2136
-16456,-11284,-1020
-13984,-576,-1220
-15700,-15732,-16724
-20984,-9616,-23832
-11820,-19096,-4060
-18176,-7004,-10004
-15224,-1512,-5264
-16452,3260,-4140
-15784,11376,-1708
-16264,6600,-4480
-15208,-4116,-3052
-17720,-10800,-4696
-15480,-9964,-8356
-14556,-1072,-6364
-15452,1036,-4628
-15556,-2816,-3916
-15464,-4324,-3032
-16188,-5660,-3708
-16604,-4284,-4284
-14516,-2960,-7680
-18544,-2280,-6580
-15740,-2700,-4092
-15340,-712,-6100
-15328,-1248,-5652
-15948,-2184,-6380
-16412,-1136,-7344
-16184,-1136,-7368
-15968,1396,-7464
-16900,3784,-8296
-18024,3568,-7884
-19908,2964,-6048
-22552,2884,-5476
-23072,1680,-6404
-23608,1004,-8140
-24024,368,-8020
-25688,1572,-7416
-29508,4796,-7140
-31748,6620,-10064
-29940,6312,-7996
-32768,4712,-7848
-31544,324,-6720
-27104,-3020,-17308
-26244,6668,-20548
-29392,10940,-9080
-15176,3764,-2968
-17160,-24164,1488
-9600,-6004,-7836
-8744,4220,-10384
-5488,6108,-4488
-3272,6528,-2020
-3472,1456,-1140
-3508,-900,-1176
-3564,-176,-812
-5828,-280,-876
-6448,-340,-952
-7996,-316,-1884
-9288,-852,-2028
-10980,-732,-2248
-12892,-1520,-3356
-15488,-4376,-3240
-16428,-4644,-2624
-18644,-3560,-2120
-21976,-2252,-2652
-25576,-3248,-3584
-28652,-5612,-4332
-32764,-7860,-3724
-32768,-12800,-3196
-32768,-17564,-3484
-32768,-20212,-9280
-27332,-30020,-10040
-22116,-32768,-3280
-17092,-30380,-416
-17532,-25216,-4216
-14864,-25248,-4856
-18444,-25780,-1804
-26056,9564,-19232
-20700,31060,-8660
-32768,18884,-14432
-32768,8948,23828
-13776,-7928,10412
-17432,-7956,-3824
-15160,-880,-700
-10652,396,-6216
-12224,-6696,-10272
-14912,-20240,-18116
-21724,-9660,-12936
-11212,-10352,-6576
-16952,-2580,-8208
-13916,3868,-4232
-16512,4688,-2304
