AcX,AcY,AcZ
-11596,-11784,-2244
-15492,-3404,-2456
-17480,-1676,-1136
-17408,-1828,-5264
-16588,-2664,-6908
-16156,-3776,-8132
-14976,-3308,-8012
-15064,-1616,-6932
-14788,-1280,-4288
-14728,-328,-3180
-16184,-932,-3340
-17332,-472,-3920
-16996,-1008,-5040
-17160,-796,-5692
-18764,-1192,-7076
-18004,-224,-7920
-14924,-2568,-7040
-15888,-3964,-7612
-19432,-3672,-8736
-19144,-2492,-7660
-18220,-3708,-6304
-16244,-5864,-6392
-13796,-6144,-5396
-13264,-10728,-5524
-12056,-8528,-4416
-9100,-560,-3968
-7040,5176,-3628
-6156,9056,-2096
-6916,10704,-824
-10448,8776,672
-16884,-256,9484
-20256,-9892,12436
-13956,-21588,-988
-7948,-14144,3584
-6144,-13212,-4016
-13340,-29580,1008
-15860,-32768,3988
-23232,-32768,-9748
3052,20392,-19964
-31476,-9240,-20096
-17996,-2448,-3556
-17056,2340,-3008
-21704,-2828,-288
-17312,-796,-5332
-18064,-2380,-6112
-18316,-4856,-7920
-17300,-4076,-8416
-15348,-2252,-6932
-12944,44,-4400
-15504,3792,-6124
-20728,3576,-2984
-16680,2308,-1656
-17652,-484,-3100
-19272,-2492,-4108
-19980,-5252,-5876
-20348,-3840,-7664
-18596,-3516,-7204
-18932,-3276,-6632
-16448,-5792,-3852
-12372,2808,-4456
-9968,5892,-5020
-9516,9236,-5788
-9056,9776,-5732
-8656,8980,-4688
-8444,6464,-4000
-8688,4224,176
-11104,-1420,-2236
-16352,-11524,-3568
-19956,-32768,2544
-21908,-32768,860
-32768,-32768,22036
8368,32767,8296
-13656,-10964,-14444
-21984,3856,-8296
-20284,-6228,-8860
-14372,-6864,-3748
-15360,-1992,-2856
-17204,608,-2636
-15724,-1196,-3588
-16696,-4384,-2672
-14384,-1352,-5092
-15368,-1256,-5292
-15184,-1764,-5252
-15576,-2504,-6076
-15204,-2648,-5868
-15760,-1584,-5980
-15064,-280,-5848
-15560,2700,-5540
-17032,4032,-6092
-17532,1156,-4964
-17796,-844,-3388
-23688,168,-8784
-23296,-2552,-4220
-26508,-1136,-8204
-24332,-1692,-7460
-22420,-5064,-8736
-18672,-6084,-7572
-16028,-8548,-5020
-10152,-10624,-4932
-4984,1932,-5756
5744,19172,-6468
8332,25968,-5096
980,23388,-3892
-9952,6108,-2232
-17424,-9176,236
-22420,-27984,-636
-26724,-32768,9940
-21464,-32768,15852
8556,31228,17436
-11792,1684,-19708
-26336,1728,-17816
-13368,-6852,-14764
-19440,-6200,-4476
-19572,56,-2396
-18880,532,-236
-19576,-3644,-2024
-19292,-5324,-3056
-20432,-6436,-5132
-20268,-1956,292
-12868,752,-1224
-13492,-1396,1704
-14160,-1280,-500
-13320,-3044,-2800
-13196,-5112,-5344
-12172,-4992,-6976
-13584,-4524,-10076
-14940,-3576,-10984
-14516,-3936,-9512
-19452,-3528,-7448
-22984,-1224,-6364
-22756,-460,-6384
-20156,-7112,-4780
-16212,-8628,-4584
-13956,-7472,-6836
-9944,2512,-5136
-7924,10104,-4956
-5748,15052,-5272
-5692,16036,-4724
-9600,14408,-3388
-15544,12988,-7204
-18648,6868,-8420
-20940,-6772,-9520
-19624,-20108,1764
-14620,-32768,3304
-13632,-32768,1476
-32768,-32768,7864
12212,27268,-5816
-25868,-1980,-14648
-19488,-6660,-2156
-15184,-6664,-4016
-18232,-7392,424
-16632,-3124,-2996
-17412,-2884,-2644
-17252,-4708,-4968
-15304,-3336,-6336
-15228,-4280,-5852
-15040,-3584,-5424
-14504,-708,-5516
-14692,-592,-4764
-14576,-1532,-3360
-13320,-352,-4524
-15304,-3760,-4680
-14992,-3240,-4840
-15848,-3096,-5640
-16672,-3124,-5760
-17604,-1784,-6624
-19312,-744,-8128
-18852,1616,-8456
-19760,-952,-7320
-19192,-1220,-6544
-18056,-1668,-5284
-18752,-2468,-3196
-18696,-2316,-2732
-18220,-2988,-3060
-16040,-6696,-2560
-14008,-8044,-2784
-12452,-5660,-2812
-7976,-464,-3248
-2860,7568,-2980
256,11676,-3152
476,11196,-2492
-5056,7420,-1492
-11004,-2568,-512
-17600,-15596,-3360
-22908,-32768,352
-23672,-32768,3280
-9168,5640,4432
-4504,-532,-12156
-32768,2264,-3324
-19116,6184,-4332
-17784,-2200,1144
-18768,-2556,68
-16168,324,-7520
-16572,-3696,-6088
-15976,-6100,-6356
-14452,-3116,-7200
-16044,-2396,-5232
-15044,-1264,-2464
-15720,-784,-1732
-15724,-172,-2364
-15800,-1268,-3108
-15128,-2140,-4564
-16068,-2340,-5392
-12696,-1644,-6248
-13228,-5880,-2428
-16964,-3160,-4420
-19836,-1808,-5812
-19888,-156,-6800
-19792,768,-6176
-19232,452,-5028
-20344,-464,-4240
-20236,-188,-4820
-19092,-1360,-4684
-16316,-1124,-4676
-10248,-7396,-5876
-4520,4528,-5528
-3332,10644,-6984
-2172,9236,-5564
-7244,3900,-5312
-12444,-3556,-3848
-14076,-16296,-1776
-14792,-32768,3452
-16116,-32768,6132
-13944,-32768,7136
4128,12740,4796
-17804,-3944,-10812
-32768,7944,-1652
-24728,7944,2076
-18452,-4620,-232
-15984,-3576,-2896
-17160,-5204,-7872
-17052,-4304,-8468
-15272,-4368,-6360
-16124,-4480,-4172
-15408,-2400,-2668
-15164,-2792,-2848
-15200,-3348,-3752
-15092,-4168,-4500
-14672,-3972,-5216
-14380,-2884,-5776
-14720,-1348,-6688
-14464,148,-6804
-17596,-2100,-2420
-18072,360,-2960
-19592,-1340,-1588
-19408,-1804,-1964
-20332,-1056,-3736
-20852,-2036,-5092
-20608,-4296,-5916
-20864,-4948,-6348
-19608,-4132,-5224
-16780,-6300,-3452
-14200,-10956,-2384
-8692,-6192,-5464
-3620,2852,-7264
-1044,7420,-6600
-624,7580,-3964
-1864,3928,-5608
-6328,-4084,-6336
-10840,-12676,-4368
-16948,-19164,-3556
-16536,-27328,1976
-18056,-32768,3716
-15624,-32768,9280
-684,10988,8312
-11068,-6548,456
-16096,104,-2912
-18336,-1044,-7792
-21616,-1436,-19964
-25492,-8996,-10404
-20600,-696,-2888
-19860,392,164
-19516,-1772,4
-17988,-3556,-2760
-17920,-5420,-5072
-18004,-5352,-5896
-18112,-3252,-6244
-17732,2080,-10392
-18468,-4668,-5816
-16860,-2272,-5724
-14036,-1256,-4316
-13272,-912,-2212
-13940,-460,-1396
-15496,-1172,-1948
-16204,-1972,-3588
-17880,-2080,-5552
-17236,-4360,-7248
-16848,-5704,-7956
-14112,-9896,-7140
-10144,-1268,-8960
-7716,5800,-6364
-8064,10692,-6828
-8372,13512,-7440
-11532,12152,-7696
-14724,10072,-8040
-17544,5764,-8176
-19800,-24,-6184
-21952,-10144,-5464
-18488,-27284,1116
-17304,-32768,6024
-20272,-32768,11792
