AcX,AcY,AcZ
-30560,-6080,-3832
-32768,-10148,-4080
-32768,-17884,-3536
-32768,-26076,-2412
-30224,-27036,-3272
-25724,-23060,-9224
-23100,-32768,-3444
-20184,-32768,-460
-18176,-29436,-1800
-20400,-30776,-4956
-21096,-20880,-1184
-22916,32767,-9588
-28956,32624,-9828
-32768,8240,14656
-20412,-1672,17204
-14784,-7048,-4028
-13644,-5316,-5716
-12992,-3248,-5892
-15796,-17816,-19984
-17724,-14984,-23508
-12548,-13728,-3428
-17412,-7044,-7268
-17104,1092,-2196
-16212,4352,-3312
-16692,9244,-1564
-15328,3908,-6580
-15444,-5020,-6452
-16152,-8616,-7948
-15392,-7264,-9592
-14608,-1788,-8604
-15676,1204,-5448
-15828,-624,-4096
-16432,-2836,-2896
-16216,-3008,-3768
-15776,-3412,-4804
-15860,-2856,-5980
-15636,-2772,-6832
-14328,-2244,-8648
-15884,-2012,-7012
-16020,-1888,-6164
-15708,-1416,-4624
-17244,-1564,-5736
-16936,-912,-6460
-16716,36,-6400
-16296,840,-7596
-17760,2516,-8304
-18212,3040,-7184
-20276,3344,-5792
-21748,2452,-6060
-22932,1344,-8436
-23048,-784,-8604
-25052,144,-7616
-26200,2076,-7316
-27212,4424,-7716
-30044,5264,-8064
-29028,11828,-6596
-32100,5116,-3004
-31932,-584,-4900
-28368,-808,-19624
-25788,8180,-23888
-24008,13768,-16260
-26948,6552,-6484
-13896,-29776,5844
-9752,-9640,-6808
-9264,2120,-11436
-5040,5016,-7488
-3744,5704,-4496
-3572,1464,-1784
-3220,-1992,-368
-5112,-1768,-324
-5996,-572,-800
-6580,108,-1096
-7152,208,-2408
-9572,-868,-2280
-11896,-1076,-2736
-13884,-1136,-3780
-14760,-1584,-2712
-17360,-1528,-2412
-21968,-1996,-1892
-26488,-4692,-1456
-28272,-7188,-2136
-31476,-9784,-3788
-32768,-15788,-4572
-32768,-22416,-3256
-32768,-25344,-3776
-26316,-22968,-10656
-22452,-32768,-6928
-21036,-32768,-1948
-18336,-26604,-1396
-16216,-26732,-5032
-17312,-26680,-6352
-31900,5108,-16188
-16736,22956,-1788
-20512,22872,1644
-32768,21412,3756
-20836,7448,21728
-14232,-11612,2440
-16724,-8116,-3300
-14332,-2464,-2936
-14080,-10360,-9736
-8932,-24116,-23620
-18300,-6732,-6172
-13740,-7596,-11552
-17648,-1200,-6200
-15536,1712,-4504
-18028,7884,-3372
-16236,4652,-4116
-15512,-1360,-5504
-15020,-5972,-5324
-16524,-6404,-5340
-15440,-4852,-5996
-15056,-4920,-5920
-15500,-2124,-3512
-15732,-1688,-3404
-15984,-2296,-4672
-15368,-3308,-5728
-15132,-3844,-6160
-14980,-4044,-6140
-15532,-3564,-7160
-15128,-2816,-7628
-15648,-3348,-6400
-16716,-2568,-4776
-16056,-244,-5756
-16648,-1608,-4516
-16560,-1648,-6228
-16648,-180,-7564
-17432,1836,-7472
-16868,3236,-6584
-18556,4112,-6160
-20636,2504,-6760
-22824,312,-9220
-22608,-1748,-9888
-23436,-1068,-8300
-25512,696,-7184
-27104,3428,-7268
-30380,4896,-9052
-30368,4744,-8108
-30464,5024,-5244
-32768,-944,-6572
-29608,-936,-12152
-27260,1264,-19832
-24936,14336,-21080
-19472,9392,-8608
-4072,-19396,1772
-12992,-17144,3168
-8192,-864,-6684
-6224,3952,-7696
-3468,6104,-5660
-2316,4752,-4000
-2096,936,-1164
-3720,-2140,-1236
-5952,-2920,-640
-7104,-1088,-1060
-6132,-816,-1768
-8400,-744,-2380
-10776,-316,-2516
-12552,-1684,-2840
-14816,-3280,-2212
-16420,-3768,-1600
-19280,-4044,-832
-22800,-6808,-1104
-25724,-11240,-1492
-27444,-14564,-2084
-29256,-16348,-2660
-32072,-19784,-2916
-32768,-22876,-9120
-25984,-28392,-1288
-22020,-28192,-5712
-21508,-32380,-6448
-19208,-28384,-1684
-19136,-28580,3084
-23492,-22624,2584
-32768,6984,-11852
-27716,32767,5596
-22428,-20056,12804
-15900,-5192,-3172
-14168,-22392,-6912
-25288,-7508,-11264
-11164,-5512,-1428
-16008,-2016,-4648
-14272,-1396,-6240
-17640,-8992,-6864
-15788,-3860,-4792
-16004,2676,-6964
-16656,3668,-6304
-17316,-1256,-7828
-17000,-3732,-5756
-15688,-5256,-5996
-15144,-3364,-5244
-16400,-1876,-4592
-16256,-2256,-4216
-15664,-2756,-4148
-14588,-3344,-5564
-16288,-2452,-4492
-17268,-780,-5140
-16236,-8,-6636
-16308,1268,-5148
-16024,1776,-5604
-15432,1376,-5172
-14208,1728,-5648
-14720,2380,-6084
-18508,6056,-9436
-24092,5448,-11344
-23752,3012,-10344
-25340,-576,-8552
-27756,2668,-6480
-24352,-1520,-6032
-23528,-6232,-5732
-18240,-8460,-7600
-9484,-932,-10052
-3488,14864,-6684
3004,18860,-3736
4900,21132,-4660
-424,19744,-3712
-7340,14620,-5984
-11204,7268,-632
-17824,5528,-4768
-25572,-2892,-5708
-29820,-16932,-9760
-26112,-32308,3672
-19180,-32768,896
-32768,-32768,8668
-23660,-32768,4580
12344,9828,-23028
-25548,-6872,-9496
-22612,-2132,-1628
-16392,-848,-2764
-15440,-7016,-5052
-15664,-588,-3156
-17152,-596,-3288
-16240,-3912,-4504
-15264,-1368,-4452
-15748,-1108,-5620
-14800,-1596,-7884
-13768,-2080,-7900
-15120,-2432,-6896
-15912,-3832,-4864
-15876,-2760,-2888
-17084,-1264,-2592
-17060,-1788,-2680
-16152,-500,-3276
-17060,-832,-4464
-17344,-728,-4968
-17224,-884,-6100
-18840,-1520,-4856
-19356,60,-4304
-19984,2168,-8524
-23408,3540,-5700
-20852,4124,-9900
-24264,6104,-7588
-23928,5076,-7428
-24044,2456,-8492
-21368,-656,-7440
-14636,-7792,-8992
6200,21168,-8668
15124,25960,-4360
11176,21172,-280
-2940,6820,-1920
-14692,-15092,-3868
-25380,-32768,496
-23512,-32768,13288
-25348,-32768,19320
8840,31900,18308
-18980,14692,-25544
-32420,-2124,-11252
-16804,-10584,-4776
-17420,-3232,964
-18024,2736,-3940
-17504,-1912,-8080
-18348,-6036,-7024
-17796,-5224,-6528
-17104,-2204,-6960
-17304,-1136,-7528
-16228,-1040,-7896
-15764,-4192,-3352
-14620,-3828,-1856
-14984,-1252,-1680
-14444,-1744,-4228
-15952,-1684,-4608
-14872,-2424,-5744
-14756,-3232,-7300
-19324,-1520,-9852
-20312,-1400,-9524
-19800,-3448,-8288
-18588,-5024,-6880
-15724,-6768,-5612
-14980,-8632,-6388
-9896,4112,-4476
-8304,7548,-5040
-6000,9100,-4584
-4852,12240,-4176
-5948,9160,-3900
-9328,5936,-4908
-17184,-9616,-332
-17132,-6704,2040
-19640,-21336,-1444
-22184,-32768,5696
-20096,-32768,12500
-22108,-32768,6204
260,15004,144
-13132,-3676,-21348
-25788,-8220,-11356
-16544,-8948,-6328
-14340,-4384,-3068
-17220,-1432,-320
-17000,-1680,-3292
-15968,-2924,-5436
-16308,-5356,-5852
-15560,-4764,-4728
-16276,-1312,-5204
-17812,-3632,-5188
-16644,-4564,-4132
-15836,-2852,-6796
