AcX,AcY,AcZ
-29496,5820,-5932
-32312,9260,-11336
-17156,5820,-11192
-31192,29784,-5932
-32768,20312,-3748
-20972,16792,-6732
-17300,-8420,10856
-16848,-8512,11316
-13680,-2692,-3680
-14392,-1868,-3580
-14748,-6960,-5424
-17224,-11952,-10600
-12760,-10536,-14908
-15240,-5660,-14740
-15080,-1964,-4812
-16580,4112,-8516
-16824,3388,-5100
-15340,2112,-5020
-15432,-2436,-3636
-14928,-5524,-5564
-15396,-4560,-6216
-15384,-2748,-7220
-15556,-1712,-8204
-15088,-1064,-6876
-15672,-572,-5616
-15704,-1392,-5000
-15664,-1348,-4344
-15192,-1484,-5432
-15232,-1936,-6132
-15228,-1796,-6564
-14768,-1492,-6620
-15144,-1188,-6844
-15408,-1304,-6452
-15656,-1336,-6352
-15564,-2572,-7284
-15228,-1700,-7848
-19476,708,-8304
-19380,2112,-7764
-21060,2592,-6496
-23496,2764,-2744
-23080,-812,-3952
-22700,-200,-4680
-23740,-2328,-7028
-24488,-1620,-8124
-25836,592,-8364
-27752,1680,-8456
-30004,1840,-8548
-29572,3460,-9408
-32256,6632,-9992
-31640,4792,-7252
-23564,1764,-6244
-26860,-2380,-8412
-19928,5548,-16296
-23244,14544,-20188
-12156,9588,-14852
-7032,-27572,-6212
-8748,-9912,5856
-5636,4956,-4664
-4212,7780,-10460
-4848,8148,-7488
-5320,3436,-3668
-6996,-1072,-1560
-7924,-1836,-1008
-7560,-924,-1220
-8656,-1416,-1304
-10516,-2104,-1300
-11928,-1024,-2272
-13176,-296,-2360
-15272,-960,-3284
-18208,-1456,-2972
-22804,-1424,-2732
-25872,-2944,-2200
-28540,-5428,-1540
-30984,-9104,-1516
-32768,-12840,-2960
-32768,-18288,-4028
-32768,-24124,-3724
-22564,-24308,-1848
-22544,-21808,-4072
-20960,-29404,-10792
-18188,-32768,-6436
-19696,-32768,496
-17820,-26936,-76
-28284,-28448,-5128
-32768,16400,-112
-32768,32767,-9448
-18936,-920,-9776
-12912,-11880,16868
-16896,-7704,11272
-12988,-4956,-4716
