AcX,AcY,AcZ
-30976,7288,-9612
-32768,5480,-6916
-32172,2208,-6192
-27984,-3384,-13380
-26680,5748,-22076
-24476,14900,-18212
-24888,10032,-5048
-9860,-28524,4204
-9732,-14968,1624
-9836,2460,-9392
-7068,5040,-8900
-3500,7000,-3908
-3728,4060,-2540
-3132,-1056,-204
-4568,-1288,-1336
-7332,-1560,-1164
-8004,-404,-980
-7244,-2056,-2416
-9636,-3368,-2448
-12304,-3296,-2788
-13644,-3192,-3760
-15428,-4252,-3516
-16760,-5100,-3108
-18532,-4588,-2928
-21468,-3716,-2700
-25284,-3348,-2364
-27168,-5864,-3556
-29192,-10728,-4744
-32264,-17540,-3732
-32768,-24828,-1636
-32768,-26216,-2588
-26704,-21388,-8780
-22576,-26852,-6884
-22304,-31596,-3060
-16152,-28772,-344
-16044,-30036,-2036
-17236,-31528,-2160
-18296,-5948,-8756
-22064,31524,-10728
-32768,29092,-13608
-32768,9048,19392
-15952,-1268,9624
-14220,-1656,-5232
-14304,12,-652
-9084,-3920,-4548
-9380,-19140,-18460
-15556,-23580,-20920
-15220,-14012,-2260
-15392,-8736,-11692
-14504,1292,-5120
-16188,4688,-6600
-16464,6860,-4636
-15596,5808,-5112
-15300,284,-5948
-16428,-7932,-6068
-15320,-5300,-6412
-15464,-3900,-7428
-16100,-2884,-5184
-15936,-952,-4372
-15448,-660,-3896
-15804,-2060,-4216
-15552,-2028,-5516
-15540,-1600,-6416
-15268,-1432,-6104
-15108,-2112,-6104
-15384,-2576,-5804
-15584,-2880,-5240
-15548,-2764,-7292
-16104,-2536,-7368
-16568,-2152,-7668
-17292,-468,-4300
-16704,1340,-6644
-19156,1616,-4932
-20148,2780,-4868
-21472,3708,-5696
-23920,652,-7228
-24056,-184,-8056
-23720,-328,-9516
-23712,300,-8516
-25612,1036,-8132
-28992,3812,-8368
-32768,3956,-11644
-31288,5972,-7988
-32768,3332,-7024
-31320,3988,-11872
-24920,-824,-17920
-26928,8216,-21036
-24144,14736,-10860
-10236,-1396,-124
-14436,-22664,4536
-8572,-3316,-8792
-8088,4968,-9816
-4616,7368,-5272
-3720,7480,-3520
-3460,832,-1556
-3520,-3104,-1488
-5668,-2340,-2172
-8164,-1868,-380
-8792,-1236,-1512
-8680,-2740,-1488
-11008,-2596,-2992
-12324,-2936,-3912
-13512,-4100,-3564
-14968,-3572,-3132
-17216,-2980,-2580
-20964,-3692,-2288
-25052,-6328,-2728
-26580,-8996,-3672
-28156,-10272,-4832
-31496,-14052,-4260
-32768,-19316,-2476
-32768,-21372,-2444
-30216,-20772,-7800
-24296,-25548,-8408
-22824,-32768,-3144
-18648,-28016,-1612
-17248,-23904,-4188
-17720,-25748,-4456
-19408,-24156,-2780
-23768,13548,-11136
-16292,31784,-7552
-32768,17616,-8604
-32768,17852,14424
-18808,-5832,11292
-17700,-9784,-3020
-15644,-3072,-1960
-12136,-1292,-5536
-13340,-6456,-11732
-5564,-23868,-19780
-24692,-7732,-8160
-11368,-7460,-9520
-17412,-1052,-5588
-14652,1572,-4496
-17432,4028,-2576
-17216,4124,-2332
-15556,-2060,-4356
-15804,-6276,-4344
-14908,-6392,-5768
-15680,-2212,-7812
-14896,-1800,-8312
-15340,-1128,-6444
-15252,-1204,-5332
-16480,-2612,-4424
-16040,-2620,-4540
-15376,-2592,-4596
-15228,-2524,-5280
-15144,-2640,-6324
-15420,-1876,-6784
-14304,-1880,-7356
-14536,-2628,-7856
-15824,-1688,-6032
-18188,-660,-5344
-17520,-344,-5576
-18328,56,-6088
-18304,1424,-6564
-18728,3244,-6260
-19952,3204,-5596
-21616,916,-7216
-22640,212,-9504
-22572,-1336,-10800
-23136,-1248,-9728
-24916,572,-7700
-26072,2792,-7216
-30336,3776,-7536
-30664,4268,-7760
-31620,3652,-5812
-32768,3812,-7520
-26076,120,-12344
-26800,188,-19376
-25604,10892,-21268
-23004,11612,-6892
-3900,-14584,2492
-13904,-19036,1172
-9308,148,-9724
-8076,4432,-8784
-5232,6184,-4588
-4112,4708,-3188
-4084,84,-408
-4000,-1780,-780
-5852,-1364,-1640
-6756,-804,-1696
-6144,-1628,-2828
-7480,-2320,-3172
-9504,-2220,-2904
-11572,-2084,-2972
-13564,-2744,-3704
-15672,-4132,-3768
-17404,-4084,-3416
-21572,-3012,-3144
-25880,-3320,-3152
-28664,-5492,-4432
-30564,-9864,-4160
-32768,-15120,-3116
-32768,-18992,-1984
-32768,-20764,-3740
-28464,-20552,-12116
-23208,-31528,-7432
-20844,-32768,-216
-18512,-27412,-1676
-16312,-25644,-3824
-16760,-25068,-4128
-24216,-2640,-12764
-25628,22432,-3640
-23240,27044,-9768
-32768,17540,6400
-23796,-10064,16900
-14896,-10000,-3992
-17772,-4456,-3396
-12024,936,-4716
-13356,-2124,-9716
-7664,-20420,-16372
-24096,-7512,-10908
-11372,-9516,-9796
-16468,-4968,-5884
-15116,984,-3864
-17144,5640,-2860
-17596,3344,-3464
-16380,-2208,-5468
-15792,-5428,-6536
-15812,-4580,-8424
-14320,-1060,-9160
-14952,856,-7012
-15356,-1268,-4388
-16192,-2416,-3984
-15944,-2716,-4316
-16132,-2832,-4684
-15476,-2444,-5468
-15212,-2176,-6452
-15168,-1908,-6608
-14288,-1768,-7524
-14756,-1776,-7580
-15492,-1948,-6256
-16324,-1308,-5712
-16748,-1024,-5144
-18188,200,-5096
-17548,-436,-5632
-17140,1216,-5876
-19060,3044,-7612
-18408,2404,-6528
-20036,2656,-6592
-21764,-96,-6460
-21852,-516,-9228
-21384,-964,-9484
-22484,-232,-8712
-25108,1616,-9372
-26924,2616,-9956
-32284,2124,-12172
-28976,7644,-8812
-30764,4032,-6576
-32768,-892,-7368
-23292,-4864,-14316
-29220,636,-20580
-19240,6084,-16276
-15840,9664,-1068
-7560,-14884,-1816
-9760,7320,-7448
-4416,17928,-6604
-3184,12600,-3964
-3488,3512,-3684
-3924,-1092,-3448
-4524,1020,-1092
-6584,2228,-1164
-8752,-1828,-1992
-10512,-5132,-2888
-11592,-5268,-3580
-14700,-5756,-3740
-18076,-8156,-2728
-20752,-11832,-3108
-24940,-15032,-4952
-29204,-16516,-6876
-23348,-32768,-10324
-32768,-32768,5764
-22244,-32768,1704
-14236,-32768,76
-18376,-32768,4188
-26408,-32768,7260
-32768,6196,-12500
-5252,17236,2008
-24032,-2988,352
-12476,-7792,-1092
-18960,80,-7220
-12000,-7544,-11520
-21920,-1976,-14760
-8576,-5816,-8620
-19680,-7072,-6904
-18580,-5492,-4912
-15860,-1060,-3156
-15960,-704,-3756
-15880,-2820,-3976
-16484,-3392,-4044
-17300,-2516,-4796
-15568,-1592,-5832
-15044,-1948,-6204
-14736,-1984,-6436
-14788,-1672,-6608
-14688,-1284,-6524
-14628,-640,-8056
-15956,48,-7560
-16648,452,-6780
-17024,-1436,-4716
-17356,-128,-4396
-18412,-828,-4852
-19068,-780,-6076
-21300,1028,-5360
-20292,-504,-5724
-21132,-1020,-5060
-18096,-5672,-5428
-17288,-7404,-5088
-13056,-7224,-5092
-9024,5692,-7116
-6620,14592,-6656
-7252,15424,-4804
-9204,14812,-4880
-12116,11900,-5904
-14884,9336,-6296
-17840,5288,-7396
-19128,584,-5036
-19460,-2432,-6860
-19052,-6356,-5140
-23608,-5860,-6744
-18128,-25224,-4576
-20948,-32768,2392
-15216,-32768,6572
-10864,-32768,6844
-11676,-32768,5100
-16200,-2352,-4076
-5768,8608,-10764
-22360,3968,-11776
-18944,-5408,-3216
-16916,-4120,-2112
-15576,-1328,-3396
-17836,-1432,-3420
-15376,-140,-5804
-14896,-2488,-5792
-15748,-5008,-6888
-15700,-5004,-8096
-15268,-4416,-8176
-14872,-3528,-6300
-14668,-2936,-4572
-14888,-2068,-3576
-15984,-1740,-2968
-16284,-304,-3600
-16724,1532,-5180
-20336,828,-6056
-17980,1480,-5960
-17076,24,-4880
-21764,3892,-8632
-23704,1936,-5224
-19744,888,-9624
-17208,-3092,-6100
-14732,-4920,-4128
-9768,3736,-5676
-4972,22588,-2284
-7940,29760,-1736
-12540,31324,-5628
-17752,20688,-10940
-19460,12580,-10728
-32768,6972,-19552
-24140,-28524,-10328
-23704,-32768,-7464
-9340,-32768,4492
-9388,-32756,2376
-10780,-32768,1684
-13052,-29168,-1456
-2328,16940,-7624
-19544,-32,-13156
-21544,-3120,-3776
-18444,-6056,-3032
-17260,-5804,1936
-18816,-4160,420
-17796,-1960,-3012
-16256,-4284,-6596
-16288,-7648,-7804
-15708,-6700,-6388
-14712,-3724,-5532
-16284,-2792,-4836
-17892,-16,-3200
-16032,344,-2948
-17596,992,-576
-18780,1408,-256
-19316,3548,-420
-20268,4212,-2436
-19312,1528,-3772
-18508,-384,-4680
-17824,-472,-6184
-17992,-1008,-5516
-16016,-2168,-7112
-11168,11216,-7140
-8952,20940,-10040
-8388,21904,-10328
-11560,21012,-13472
-12828,18748,-11268
-15216,10708,-9344
-17812,9736,-9048
-18472,3652,-7124
-22808,1260,-7076
-18204,-28916,-4216
-18512,-32768,3424
-28164,-32768,12784
-15856,-32768,2552
-24840,2188,3140
-212,32767,-7160
-25108,-5872,-17068
-15680,-16820,4548
-14792,-7176,-3476
-15300,-1148,-5676
-15904,-2992,-5924
-15960,-4260,-2560
-17148,-6492,-1484
-16172,-3172,-2588
-15996,-1408,-4232
-15872,-1560,-4584
-15752,-2864,-6300
-15688,-2388,-7596
-15656,-2092,-6248
-14488,-1184,-3240
-14364,-1236,-2944
-14732,-1608,-3640
-15276,-1748,-7600
-17876,2456,-9784
-17448,76,-6128
-17168,1008,-3480
-17224,2148,-3216
-16356,-860,-3544
-18676,1216,-5028
-16780,-1212,-6620
