AcX,AcY,AcZ
-16004,-9900,4296
-15752,-6392,-4668
-13696,-2308,-8004
-12400,-6524,-9724
-7308,-23592,-20652
-25104,-7896,-12612
-9616,-9056,-9396
-17384,-3620,-6804
-14208,4000,-3448
-16832,7072,-1684
-17304,6992,-1704
-16836,-2624,-4856
-16320,-4552,-5564
-16400,-6292,-7808
-14800,-4812,-10076
-14344,-1008,-7688
-14900,12,-4812
-16200,-2260,-3504
-16240,-2392,-3476
-15668,-2044,-4456
-15744,-3080,-5376
-15828,-2844,-5912
-15132,-2324,-6944
-13808,-2800,-9548
-15848,-4024,-6480
-16520,-1516,-3728
-15964,-76,-5372
-16840,-692,-4360
-16764,-1256,-4324
-17492,296,-5280
-19104,2600,-6564
-18904,2928,-6688
-21036,836,-6048
-22540,-580,-4520
-22420,-392,-6296
-22676,-484,-7144
-23504,-392,-7032
-25096,1472,-8508
-27296,2252,-10228
-30312,1620,-12228
-30228,3588,-9176
-32768,4056,-7320
-31160,3552,-9136
-26460,392,-16008
-26980,3508,-19680
-25456,11808,-13544
-21168,6556,-3636
-19268,-24052,3720
-8780,-4532,-3888
-7052,5020,-9040
-4152,6316,-5892
-2844,6104,-3432
-2912,1740,-1724
-3944,-1952,-1380
-4180,-1448,-1072
-5456,-1540,-1348
-5824,-1144,-2088
-7172,-556,-2704
-8884,432,-2712
-10432,708,-3048
-12856,-168,-3292
-13380,-1116,-2880
-15856,-908,-2460
-21204,-2564,-1288
-26512,-5320,-2100
-28448,-8280,-3764
-30532,-10504,-5840
-32768,-13856,-6180
-32768,-17396,-9460
-32768,-19836,-3516
-30436,-23476,-8924
-24816,-32768,-8048
-19964,-32768,-1404
-19284,-24932,-1944
-16504,-24960,-4640
-25924,-18836,-9764
-23452,-18784,2956
-22636,31764,-1584
-32768,25820,-7608
-32768,9468,15516
-13620,-6248,6280
-16388,-10296,-3912
-14156,-5388,-4440
-12192,-5808,-7996
-14480,-8044,-11680
-9056,-23084,-15156
-21936,-5680,-4484
-13000,-3452,-7112
-17672,2132,-4036
-15184,5168,-3180
-18160,7628,-3440
-15152,384,-6256
-15412,-7528,-6580
-16244,-9844,-7468
-15356,-2996,-8200
-14960,1336,-7488
-15232,-1296,-5116
-16020,-3776,-3764
-16300,-3752,-3816
-15496,-3244,-4432
-15476,-2432,-5036
-15828,-2420,-5664
-15460,-3500,-6484
-14832,-2624,-9736
-19776,-872,-6372
-15108,-1572,-6180
-16724,-1128,-4968
-17052,-712,-4840
-16800,-1296,-5140
-15844,396,-5716
-17020,2404,-6236
-19484,2328,-6656
-19768,1904,-6560
-22428,112,-6100
-22992,2128,-8008
-22760,2628,-8888
-23704,1224,-8588
-26476,1532,-8660
-28944,3288,-8548
-32768,2784,-11828
-32316,6904,-8548
-32768,2212,-4940
-32508,-1224,-9032
-28552,568,-19436
-27972,12364,-24820
-21908,11272,-8480
-3748,-14460,1304
-16880,-17472,5268
-8056,1324,-6512
-5280,4460,-7384
-2876,5824,-4352
-2392,3436,-3064
-2108,-1212,-916
-2192,-1260,-1168
-5044,-16,-964
-6096,-260,-868
-6804,-256,-1244
-7680,-1048,-2180
-10668,-1564,-2276
-12192,-2716,-2680
-14056,-3824,-3184
-16108,-3788,-3240
-18456,-3436,-2460
-22412,-3152,-1756
-25744,-5156,-2052
-28280,-8224,-2760
-31348,-11692,-3288
-32768,-16772,-3436
-32768,-22564,-3172
-32768,-22528,-4936
-27036,-22044,-11180
-23192,-31584,-6448
-21732,-32768,408
-18180,-27672,-2296
-16352,-25272,-6152
-16908,-25072,-6936
-26580,-9932,-10816
-20064,20996,1440
-17088,22888,1144
-32768,22892,-2092
-25104,7360,20380
-15476,-13044,6132
-18712,-7836,-1916
-15216,-2316,-2676
-14344,-2732,-8120
-15412,-14244,-18556
-15924,-12268,-21228
-11904,-8548,-5880
-16816,-5516,-10264
-14940,408,-3940
-17356,4948,-3812
-17496,5300,-2864
-16520,-444,-5384
-16324,-3616,-5452
-15864,-4780,-7328
-15124,-3160,-7728
-15732,-832,-6116
-15484,-920,-4748
-15492,-2472,-3812
-15968,-2808,-4316
-15788,-3396,-4840
-15900,-3052,-5948
-14852,-3184,-7940
-15420,-2324,-9068
-15564,-2140,-6920
-16032,-852,-4860
-15024,8,-6224
-16548,-364,-4084
-15980,-1160,-5184
-15436,-576,-5408
-15488,1736,-6604
-17484,4492,-7640
-19076,2268,-7212
-21188,-1596,-5564
-22172,-644,-5736
-21580,664,-7212
-21480,164,-7676
-23648,-16,-8160
-25828,232,-9296
-29044,-944,-9972
-31960,3868,-12260
-29760,2596,-8692
-29516,-2232,-6228
-29536,-648,-6956
-22804,-5648,-11312
-25848,3820,-15656
-15740,6376,-11304
-16296,9004,-8848
-3720,-23448,-276
-9052,-4084,-2296
-4884,7892,-6088
-3360,7804,-3848
-2480,3844,-4040
-2252,-1088,-3028
-3104,-920,-1316
-6656,-2128,832
-6572,-2424,452
-7008,-1828,-1028
-7204,-1756,-2436
-8268,-8,-4048
-9760,1220,-4052
-11520,-584,-2436
-16260,-8432,984
-24440,-14804,-11348
-28364,-15640,-8440
-32768,-26720,-15308
-32768,-32768,-1924
-32768,-32768,-11376
-11372,-32768,15688
-20904,-8560,4568
-7780,21712,-18540
-28720,1532,-800
-17956,-14000,-3936
-12304,-1208,-284
-17196,-8176,-3320
-16684,-2056,-5960
-16296,-1280,-3868
-18196,-5168,-6816
-17712,-2312,-3908
-18124,8,-6888
-17708,-1108,-5688
-17052,-1484,-6168
-15268,-2244,-4416
-14688,-3672,-3908
-13652,-2992,-2516
-14036,-2612,-1532
-14676,-3032,-1656
-14196,-2256,-2852
-14916,-1588,-4768
-14084,-2752,-6812
-13792,-5096,-7644
-12812,-7324,-7804
-11084,-9412,-6156
-12712,-6664,-5368
-14492,-5372,-4364
-17124,-3580,-4616
-18040,-1512,-4540
-19424,712,-5252
-20276,876,-5984
-19748,-1648,-7104
-19344,-6696,-5024
-17804,-7228,-4180
-16152,-6628,-3240
-15868,-6468,-3028
-15312,-5232,-2236
-14640,-6380,-2328
-15020,-7540,-2712
-15664,-6120,-4396
-15740,-5216,-4744
-15120,-4996,-4908
-13668,-5520,-4944
-13164,-5352,-6108
-12536,-5692,-5892
-11364,1020,-5940
-8056,7664,-5792
-7380,11148,-7472
-7420,10892,-7244
-9692,11876,-6584
-11468,10644,-5856
-13844,5084,-5432
-15512,2052,-7548
-19272,-4384,-5420
-19960,-8588,-4436
-19436,-13248,-3684
-18324,-25956,1232
-13384,-32768,18524
-32768,-32768,18052
26588,19744,4536
-16292,-764,-23920
-22964,-1620,-3400
-20400,-5872,-6716
-13576,-10584,-5416
-17888,-6192,-3348
-17976,-5108,-3348
-16200,-5844,-4808
-16080,-3248,-3416
-16020,-2700,-4896
-14984,-2016,-6316
-13676,-2096,-7068
-14780,-956,-5976
-15712,2016,-5172
-18700,2984,-4748
-15620,636,-2992
-18016,-644,-2172
-21484,2112,-7420
-24076,3492,-7004
-20684,-1664,-8260
-21416,-2496,-7300
-19724,-3180,-6656
-16280,-6232,-6256
-15996,-5664,-4536
-14308,-5928,-3776
-11460,1868,-6604
-7556,7900,-3752
-5676,10680,-5436
-3844,9380,-4036
-6560,6136,-6396
-7188,-888,-6048
-12480,-15836,-3108
-12956,-26300,160
-12936,-32768,3760
-10268,-32768,6900
-10452,-32768,7864
-164,6732,8752
-16824,-6624,2092
-20984,5192,3000
-21868,4256,-5980
-19624,-4760,-10028
-17900,-6848,-12432
-15984,-7012,-11428
-18428,-5616,-6884
-19376,-2568,-3508
-20052,-428,-3620
-19224,-1696,-2592
-18988,-4420,-4000
-19060,-4588,-5272
-18260,-4740,-4280
-16268,-1576,-5304
-14372,-888,-5568
-12724,-1952,-4224
-15968,-476,-1784
-17928,28,-1980
-18092,-3104,-3248
-19240,-6172,-4280
-16292,-6984,-4988
-14656,-5064,-8340
-11976,7988,-8000
-9272,17544,-8108
-7088,22108,-7356
-7328,21236,-8412
-13940,18508,-9168
-21320,10824,-10080
-23168,5044,-12700
-24692,-2968,-11664
-21360,-12152,-7596
-19920,-20784,-4136
-16276,-32768,-4916
-14544,-32768,-308
-10644,-32768,4776
-11396,-32768,4204
-2168,20032,-6392
-11344,1556,-21992
-22368,-7276,-4080
-16752,-3008,-3908
-16600,-3804,2420
-19908,-1608,900
-18260,-1292,-2408
-16688,-4916,-2044
-16056,-5332,-3968
-14824,-4476,-5228
-14572,-6268,-5892
-13856,-4632,-6180
-13376,-3796,-6308
-13524,-4352,-5164
-14848,-4888,-3904
-15096,-3976,-3492
-15500,-2528,-3548
-15620,-1668,-3108
-16980,720,-5900
-16600,1100,-5924
-16892,-8,-5316
-17916,1468,-7136
-18932,3036,-7304
-18692,3560,-7136
-20536,912,-6024
-21944,2440,-6672
-19792,-692,-4200
-19896,-1640,-5080
-19644,-3356,-4512
-19740,-3052,-4768
-17144,-3380,-4896
-16264,-5840,-3784
-11908,-2416,-5228
-3908,3300,-4160
2976,6208,-5544
2436,6792,-5224
-2352,3824,-5048
-6264,-5616,-4104
-11920,-20428,-1184
-14936,-32768,-220
-14704,-32768,7016
-19488,-32768,216
4856,11460,16536
-16424,-7900,3792
-17356,4820,2880
-32768,-1188,-11896
-16832,-5544,-16624
-20704,-4968,-6792
-19204,-4020,-3628
-16412,-1928,-880
-18636,-4232,-3240
-16416,-5576,-6452
-16124,-6312,-5472
-15324,-5664,-6096
-13660,-4056,-6220
-13420,-3408,-5680
-14240,-3312,-4828
-14404,-2584,-5428
-14452,-1684,-3952
-14672,-368,-4480
-15692,416,-6500
-15848,716,-6700
-16804,400,-7792
-19860,-324,-8752
-22020,-1640,-9652
-22048,-3696,-8888
-19816,-4616,-6328
-17448,-3580,-4940
-14720,-6928,-3628
-13400,-5836,-4324
-10248,5516,-4964
-8240,8636,-3028
-6740,12412,-4888
-9012,12664,-6204
-10604,10344,-6120
-12712,4468,-6032
-15400,1448,-6848
-21684,-3476,-8316
-24716,-5716,-3736
-25048,-21756,-1492
-21568,-32768,6468
-17504,-32768,8748
-13296,-32768,10196
-12360,13036,14508
-9808,932,-10192
-14992,-3752,-10008
-19896,-9672,-11468
-12048,-9912,-6064
-12624,-2796,-4176
-13816,-4160,-1124
-15460,-2868,1592
-17204,-2084,-872
-16568,-2456,-2952
-16332,-4056,-4120
-15932,-3812,-5900
-15404,-4740,-7132
-16096,-3040,-4572
-15060,-1004,-4284
-15084,-992,-3204
-15812,-1944,-1052
-15960,-2852,-2392
-16432,-2820,-2944
-17080,-3220,-4096
-16572,-1108,-5824
-17700,-168,-8032
-19164,-1772,-8984
-19296,-3424,-8888
-21128,-3788,-7608
-20488,-3780,-5516
-20524,-3108,-4236
-20520,-1532,-3052
-19052,-2928,-3260
-18424,-4520,-3408
-14232,-5212,-2784
-5128,-8248,-1280
5276,9928,-1552
